Año,PBI_crecimiento_pct
2000,2.69437139806912
2001,0.617892325624297
2002,5.45352893818767
2003,4.16502313666112
2004,4.95820320611745
2005,6.28506032509601
2006,7.5288990440594
2007,8.5183877690955
2008,9.1265683014642
2009,1.0958236592427
2010,8.33245910749577
2011,6.32719240161117
2012,6.13972470560435
2013,5.85251821084928
2014,2.38215737180541
2015,3.25224477218451
2016,3.95331871520767
2017,2.51883544233135
2018,3.969351341365
2019,2.24063176875049
2020,-10.9333065010382
2021,13.3626240903125
2022,2.8090335533015
2023,-0.403242151494268
