Fecha,Tipo_Cambio
2010-01-04,2.882
2010-01-05,2.87285714285714
2010-01-06,2.86957142857143
2010-01-07,2.867
2010-01-08,2.85528571428571
2010-01-11,2.84914285714286
2010-01-12,2.84914285714286
2010-01-13,2.84685714285714
2010-01-14,2.849
2010-01-15,2.85128571428571
2010-01-18,2.85257142857143
2010-01-19,2.854
2010-01-20,2.85528571428571
2010-01-21,2.85085714285714
2010-01-22,2.85271428571429
2010-01-25,2.852
2010-01-26,2.85542857142857
2010-01-27,2.86142857142857
2010-01-28,2.85942857142857
2010-01-29,2.85671428571429
2010-02-01,2.85428571428571
2010-02-02,2.84971428571429
2010-02-03,2.85257142857143
2010-02-04,2.85985714285714
2010-02-05,2.86471428571429
2010-02-08,2.87171428571429
2010-02-09,2.86385714285714
2010-02-10,2.85928571428571
2010-02-11,2.85271428571429
2010-02-12,2.85528571428571
2010-02-15,2.85485714285714
2010-02-16,2.84971428571429
2010-02-17,2.84842857142857
2010-02-18,2.85128571428571
2010-02-19,2.85185714285714
2010-02-22,2.85014285714286
2010-02-23,2.85142857142857
2010-02-24,2.84885714285714
2010-02-25,2.85014285714286
2010-02-26,2.84771428571429
2010-03-01,2.84542857142857
2010-03-02,2.84442857142857
2010-03-03,2.84371428571429
2010-03-04,2.84385714285714
2010-03-05,2.84114285714286
2010-03-08,2.84057142857143
2010-03-09,2.84171428571429
2010-03-10,2.83957142857143
2010-03-11,2.839
2010-03-12,2.83785714285714
2010-03-15,2.83957142857143
2010-03-16,2.838
2010-03-17,2.837
2010-03-18,2.83871428571429
2010-03-19,2.838
2010-03-22,2.83814285714286
2010-03-23,2.837
2010-03-24,2.83714285714286
2010-03-25,2.83757142857143
2010-03-26,2.83942857142857
2010-03-29,2.84042857142857
2010-03-30,2.84
2010-03-31,2.84242857142857
2010-04-05,2.83885714285714
2010-04-06,2.83885714285714
2010-04-07,2.83771428571429
2010-04-08,2.83714285714286
2010-04-09,2.83642857142857
2010-04-12,2.836
2010-04-13,2.83614285714286
2010-04-14,2.83514285714286
2010-04-15,2.83585714285714
2010-04-16,2.83671428571429
2010-04-19,2.83742857142857
2010-04-20,2.83828571428571
2010-04-21,2.84071428571429
2010-04-22,2.84671428571429
2010-04-23,2.84328571428571
2010-04-26,2.84471428571429
2010-04-27,2.84742857142857
2010-04-28,2.84685714285714
2010-04-29,2.84542857142857
2010-04-30,2.84757142857143
2010-05-03,2.84542857142857
2010-05-04,2.84871428571429
2010-05-05,2.85014285714286
2010-05-06,2.85242857142857
2010-05-07,2.85414285714286
2010-05-10,2.84542857142857
2010-05-11,2.84528571428571
2010-05-12,2.83942857142857
2010-05-13,2.838
2010-05-14,2.841
2010-05-17,2.84242857142857
2010-05-18,2.84071428571429
2010-05-19,2.84614285714286
2010-05-20,2.85214285714286
2010-05-21,2.84414285714286
2010-05-24,2.84614285714286
2010-05-25,2.84957142857143
2010-05-26,2.84657142857143
2010-05-27,2.84814285714286
2010-05-28,2.84728571428571
2010-05-31,2.84428571428571
2010-06-01,2.84542857142857
2010-06-02,2.84557142857143
2010-06-03,2.84614285714286
2010-06-04,2.85042857142857
