Fecha,IPC,IPC_sin_alimentos_energia,IPC_alimentos_energia
2000-01-01,3.78374042649396,7.73178941981607,1.29098591807035
2000-02-01,3.95462913240919,6.79398294786403,2.13210046904705
2000-03-01,3.88143717308671,6.31909835570105,2.30375706934917
2000-04-01,3.80079502975223,6.09563184393237,2.31690430298164
2000-05-01,3.33132762952672,5.96400621499937,1.60964535140721
2000-06-01,3.21237642372067,5.84075575263643,1.51078163551246
2000-07-01,3.47290706899416,5.82611564473039,1.94246249777576
2000-08-01,3.77965612115664,5.59415161618624,2.59511056038251
2000-09-01,3.87891499036212,5.60912157845176,2.7342571654463
2000-10-01,4.2465043528177,5.3763297154792,3.50041188958232
2000-11-01,4.02448719526586,5.19780519997974,3.25653337108048
2000-12-01,3.73423530553241,4.51195722016734,3.21282854356315
2001-01-01,3.85694846310666,4.11465201824753,3.65760224443836
2001-02-01,3.61429299906466,4.07067434272631,3.30624080136984
2001-03-01,3.57992596252713,3.97133458632136,3.31186398588962
2001-04-01,2.62367023634844,3.73575799388354,1.86839023144771
2001-05-01,2.63137960261748,3.54030024550463,2.02085993666631
2001-06-01,2.50653844904704,3.52882086812134,1.81299057820896
2001-07-01,2.15616350698152,3.311307113009,1.36223529121869
2001-08-01,1.37216591103495,3.05733104834925,0.23879279847302
2001-09-01,0.874859439407691,2.56117285186279,-0.251255403794311
2001-10-01,0.678418616966033,2.31821402945504,-0.438123625671981
2001-11-01,0.118320506444655,1.74418890576943,-0.991251305133881
2001-12-01,-0.127351804026711,1.65353899692371,-1.34422975909781
2002-01-01,-0.832735541928763,1.57003969599819,-2.56794443058535
2002-02-01,-1.11435995661241,1.50245779072536,-2.97587093422157
2002-03-01,-1.08434877762702,1.31677064263758,-2.73213777358959
2002-04-01,0.0536163899146981,1.07399126803802,-0.572072770993346
2002-05-01,0.168195888741778,1.07475414206571,-0.407277768604871
2002-06-01,-0.0020346269862139,0.978117586234131,-0.647493049257726
2002-07-01,-0.140233563263825,1.12398133978875,-0.991537768781563
2002-08-01,0.264298507122416,1.28344584628216,-0.464282213747437
2002-09-01,0.675922177896198,1.33901638801007,0.291553530765553
2002-10-01,1.36075080128072,1.38051787925613,1.53619940018299
2002-11-01,1.4559864977268,1.41046614335352,1.57295886639185
2002-12-01,1.51584359925223,1.05621111303151,1.91321678537467
2003-01-01,2.28256531091344,0.956613811945288,3.46094817238081
2003-02-01,2.80251550325744,1.12554538443686,4.2911092739256
2003-03-01,3.39492952664717,2.84072503887689,3.82051494103671
2003-04-01,2.59410866572462,2.96451580129526,2.27378759795916
2003-05-01,2.41907413281585,2.90794902344279,1.99701492184531
2003-06-01,2.16670361131932,2.88392407859119,1.50610936106893
2003-07-01,1.97926539467088,2.82060843800715,1.23283155407387
2003-08-01,1.89018763927369,2.77094241383697,1.14700199551916
2003-09-01,1.97643069418834,2.7550188802725,1.26183546928915
2003-10-01,1.29914227933141,2.62574350442858,0.169394740723131
2003-11-01,1.87586876420891,2.58917110739431,1.24166328400618
2003-12-01,2.48375367285244,2.85657456686041,2.18849865294795
2004-01-01,2.79665791136376,2.82596114075494,2.82533253234045
2004-02-01,3.42821975568844,2.74676725366663,4.00933050883762
2004-03-01,2.75586879228498,1.06081677086886,4.22889610604272
2004-04-01,2.78474438495964,0.684754625344588,4.5466897367196
2004-05-01,3.18148675651342,0.675975959396983,5.3660277857791
2004-06-01,4.25649941593865,0.599678092924982,7.46941551191428
2004-07-01,4.61392955477505,0.502608639497402,8.19143953372367
2004-08-01,4.58987514198404,0.482096750108065,8.1680560483377
2004-09-01,4.02624205102501,0.465147614165638,7.1556523673923
2004-10-01,3.95056968146035,0.814340068704328,6.61235013202145
2004-11-01,4.07439965049732,1.16707553621408,6.60701855389626
2004-12-01,3.48108068238586,1.08921858230921,5.54958173917127
2005-01-01,3.03097911143629,1.17687868557697,4.60095643200324
2005-02-01,1.68486346916637,0.984135132817226,2.26729636985924
2005-03-01,1.87692373675019,1.12831706024229,2.50313725973193
2005-04-01,2.02120797476034,1.20151797819861,2.74468963427081
2005-05-01,1.78991360320908,1.33450156360896,2.1900192099815
2005-06-01,1.48619031469285,1.23108809734896,1.69914732471799
2005-07-01,1.39655085833978,1.35593530899276,1.40786512275218
2005-08-01,1.22409427378704,1.34014909013632,1.15949593715296
2005-09-01,1.11178638841314,1.40271907853454,0.854819824626611
2005-10-01,1.2822280924001,1.29226856268917,1.28123897473168
2005-11-01,1.06109171419654,1.22734237851142,0.929587164252517
2005-12-01,1.49426032513706,1.36338310616871,1.53687620237715
2006-01-01,1.89928300065183,1.39801112048135,2.27967079803809
2006-02-01,2.69892663277413,1.43124913705927,3.6972935585731
2006-03-01,2.50196392133908,1.41100936889335,3.44084916463285
2006-04-01,2.90245879697595,1.66145081447839,3.89915341791898
2006-05-01,2.23003569274239,1.40739393699992,2.90677010968704
2006-06-01,1.82598470764676,1.38461507562353,2.17703512395384
2006-07-01,1.54620334004134,1.51243585912603,1.58583482326281
2006-08-01,1.87067015257125,1.59332340931473,2.04295730992369
2006-09-01,1.99470938591183,1.60244009139874,2.32923947450228
2006-10-01,1.8918527701293,1.46156525229084,2.26349299151647
2006-11-01,1.53527027131057,1.30164906278721,1.73676648773233
2006-12-01,1.13748466302501,1.28021980563034,1.04531983528312
2007-01-01,0.644192485593111,1.12923565572017,0.218968644145427
2007-02-01,0.355106579631463,1.30552979521963,-0.382148791173528
2007-03-01,0.246889470132424,1.15663505987349,-0.53953798825075
2007-04-01,-0.0840423246943481,1.0967131882456,-1.01432964485923
2007-05-01,0.940332272525899,1.22362346396925,0.696408728136003
2007-06-01,1.54903128174348,1.4272846335915,1.68761193810041
2007-07-01,2.20614337091199,1.30538773489409,2.94177157638166
2007-08-01,2.20365399385851,1.23502924506919,3.0211031244726
2007-09-01,2.80151716782047,1.30740209031548,3.9785503017084
2007-10-01,3.07919123254024,1.37003087374265,4.49886793669927
2007-11-01,3.48560650700319,1.35071168563695,5.24494673431678
2007-12-01,3.92767933030371,1.48575138115385,5.90774206733644
2008-01-01,4.14862783419738,1.56503141925222,6.31784377108365
2008-02-01,4.82129791165961,1.44791415314932,7.54609688579844
2008-03-01,5.54520020212678,1.65528335561485,8.76300308566532
2008-04-01,5.51992846176267,1.61558312159662,8.72805931389995
2008-05-01,5.39142477174437,1.82117565604069,8.26558331753406
2008-06-01,5.70602688265523,2.08463551836687,8.58182625168078
2008-07-01,5.79011433632016,2.18703325986221,8.69553049312785
2008-08-01,6.26929843411577,2.64035622163744,9.1910262801425
2008-09-01,6.22145226914745,3.42249877951769,8.45395139985086
2008-10-01,6.53818099426607,3.86435618346864,8.62835707308124
2008-11-01,6.74891008942323,4.26034786154805,8.680372941315
2008-12-01,6.65020733404168,4.25215231226433,8.58140612403607
2009-01-01,6.52648290285566,4.34023627375248,8.26681394576292
2009-02-01,5.4900016860933,4.64846724899248,6.19011423582068
2009-03-01,4.77836275109507,4.76232592970039,4.78654958278377
2009-04-01,4.63691133716491,4.78456075410446,4.51422005101905
2009-05-01,4.20687598406191,4.5288634890768,3.96872189932642
2009-06-01,3.05986285626567,4.31413046197485,2.10858086543354
2009-07-01,2.68189445536994,4.15190933697147,1.57296738884283
2009-08-01,1.86741608176118,3.63595843775454,0.521000327040723
2009-09-01,1.20456775614771,2.78297057215262,0.0282253137616324
2009-10-01,0.711181735610848,2.21756337547726,-0.428699284004361
2009-11-01,0.288402470011201,1.78169717803717,-0.823797419514848
2009-12-01,0.245316435650426,1.70579655514482,-0.860396005361918
2010-01-01,0.435718739101945,1.65881976525667,-0.343396729281768
2010-02-01,0.835043257655835,1.30440906091892,0.803179999541236
2010-03-01,0.755260569305348,1.0160070829702,0.912594261127533
2010-04-01,0.76165337907765,0.980156894107563,0.900867136997864
2010-05-01,1.04478015205456,1.14333354927635,1.32272424823005
2010-06-01,1.64340671777881,1.09272801894978,2.53277105728068
2010-07-01,1.82325129296416,1.11484139900859,2.92750170014337
2010-08-01,2.30885508267747,1.14745350409171,3.89620383583782
2010-09-01,2.36535673314101,1.11593077176367,4.00200260786853
2010-10-01,2.0950876960611,1.30643630647446,3.21380140859287
2010-11-01,2.21771157289207,1.22917162813678,3.50375981449135
2010-12-01,2.07644423190308,1.38216463483452,2.97896801213708
2011-01-01,2.17264229393742,1.38819509569406,3.18424348483362
2011-02-01,2.23355858855512,1.56648459744585,3.08744374069727
2011-03-01,2.66342558533546,1.63554063133616,3.97881548615552
2011-04-01,3.33627077586349,1.8558035225787,5.23394506539717
2011-05-01,3.06661988654443,1.79707680592501,4.69152320875552
